date,bonded_percentage,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circ_supply,token,bonded_tokens,has_liquid_staking,chain,inflation
2023-11-07,0.6481,0.215,0.096237342431,4.290799150469,7.694007776104,25.433045114428,8.734583556960814,142816706.76,3260792960.364149,373319797.0,373319797.0,Cosmos,242069456.0,True,Atom,0.142
2023-11-08,0.6575,0.212,0.328056211225,-3.0132047104,6.762776269463,21.997926371993,8.471392673788682,147896754.48,3163971105.7872157,373488897.0,373488897.0,Cosmos,245689578.0,True,Atom,0.142
2023-11-09,0.657,0.212,-0.134542338265,2.447818352909,10.111367068728,27.091199428941,8.678756978404685,129468695.84,3242904384.6232367,373660006.0,373660006.0,Cosmos,245592898.0,True,Atom,0.142
2023-11-10,0.6567000000000001,0.213,2.125948576046,4.027349366566,15.10151257482,35.11930173278,9.028280842600253,251607074.95,3375058893.595688,373831846.0,373831846.0,Cosmos,245602599.0,True,Atom,0.142
2023-11-11,0.6566,0.213,-0.71738196958,1.918489457807,18.609512424493,37.233866736948,9.201487458786753,239979967.64,3441377942.2832613,374002351.0,374002351.0,Cosmos,245692444.0,True,Atom,0.142
2023-11-12,0.6568,0.213,-0.133444169516,0.403224884643,13.867186769261,40.260016187742,9.238590145977858,150331092.91,3456844405.123865,374174452.0,374174452.0,Cosmos,245864178.0,True,Atom,0.14300000000000002
2023-11-13,0.6561,0.213,-1.015179534402,3.177137283855,13.813287031423,45.239593431585,9.532112838008269,165069637.99,3568314880.082789,374346689.0,374346689.0,Cosmos,245710466.0,True,Atom,0.14300000000000002
2023-11-14,0.6559999999999999,0.213,-1.451701151703,-3.43312465967,5.384114326131,39.769991403581,9.20486352157902,311757302.94,3447384406.96431,374517710.0,374517710.0,Cosmos,245790616.0,True,Atom,0.14300000000000002
2023-11-15,0.6561,0.213,0.301502645347,-1.101300551881,7.461555134648,37.864329873749,9.10349030881597,229317680.89,3410979564.742441,374689207.0,374689207.0,Cosmos,245944574.0,True,Atom,0.14300000000000002
2023-11-16,0.6562,0.213,0.522996561678,6.233880645207,11.432905118554,45.784789835125,9.67099102921555,205773103.52,3625297358.1412277,374863067.0,374863067.0,Cosmos,246078543.0,True,Atom,0.14300000000000002
2023-11-17,0.6548,0.214,-1.821288587916,-0.810029602781,6.251160173633,48.829709869647,9.5926531389966,254068370.04,3597581092.060328,375035044.0,375035044.0,Cosmos,245692750.0,True,Atom,0.14300000000000002
2023-11-18,0.6551,0.214,0.793148071231,-2.016163578037,2.149240569416,49.210222924453,9.399249560240753,195121328.67,3526659915.493704,375206541.0,375206541.0,Cosmos,245918301.0,True,Atom,0.14300000000000002
2023-11-19,0.6554000000000001,0.214,0.190730492637,-1.788863165991,-0.080967971104,47.304181741285,9.231109846978063,142581007.51,3465185904.028108,375381288.0,375381288.0,Cosmos,246147244.0,True,Atom,0.14300000000000002
2023-11-20,0.6545000000000001,0.214,1.671446779122,1.637616825354,-1.571873786594,46.304402491319,9.38228005499908,103112763.54,3523569560.5273027,375555786.0,375555786.0,Cosmos,245920869.0,True,Atom,0.14300000000000002
2023-11-21,0.6533,0.215,-0.416989002814,-4.356913297882,-2.513467727125,35.417774175309,8.973502247638248,134332509.01,3371605196.499414,375729019.0,375729019.0,Cosmos,245588453.0,True,Atom,0.14300000000000002
2023-11-22,0.6492,0.21600000000000003,-0.124907331699,-8.086263783738,-9.398693188401,22.191236390294,8.24788118525455,172054930.31,3100405054.4751964,375903215.0,375903215.0,Cosmos,244149916.0,True,Atom,0.14300000000000002
